"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.041904960E0,-6.083378196E-2,2.572846413E-2,-4.131422043E-1,4.183887951E-1
5.060469335E0,-5.959621072E-2,7.752794027E-2,-1.154587746E0,1.158721344E0
5.079075272E0,-1.279207170E-1,7.921594381E-2,-9.798393250E-1,9.913243558E-1
5.097636522E0,1.271831989E-2,-2.069741488E-2,-4.398708344E-1,4.405411326E-1
5.116150064E0,1.058434248E-1,-7.202756405E-2,-1.122159958E-1,1.702446189E-1
5.134711314E0,9.699746966E-2,1.558349133E-1,-1.561660767E-1,2.409997361E-1
5.153320324E0,3.195902705E-1,3.537353873E-1,-2.346277237E-1,5.313349546E-1
5.171851835E0,4.518494308E-1,5.276724696E-1,-1.264066696E-1,7.061053671E-1
5.190413085E0,4.294393361E-1,6.470125318E-1,-6.085014343E-2,7.789390859E-1
5.208956366E0,1.850495338E-1,7.138972878E-1,-4.096794128E-2,7.386278087E-1
5.227517668E0,-5.843076110E-2,6.905825734E-1,-2.322025299E-1,7.309148100E-1
5.246126678E0,-2.247899175E-1,6.181820035E-1,-7.823619843E-1,1.022139800E0
5.264687980E0,-3.026465476E-1,5.801020265E-1,-1.412444115E0,1.556634726E0
5.283249178E0,-1.760728806E-1,6.275984645E-1,-1.679915428E0,1.801942657E0
5.301762720E0,3.822726011E-2,6.627321839E-1,-1.496070862E0,1.636735560E0
5.320327251E0,2.941402197E-1,6.286258101E-1,-9.953155518E-1,1.213400975E0
5.338933033E0,2.394572198E-1,6.001594663E-1,-4.353036880E-1,7.791151686E-1
5.357494283E0,-1.275088936E-1,5.863423944E-1,-2.380762100E-1,6.455510848E-1
5.376007824E0,-3.416914046E-1,6.301233768E-1,-2.270250320E-1,7.518968355E-1
5.394569074E0,-1.504054964E-1,7.865701318E-1,-1.705474854E-1,8.187800867E-1
5.413178345E0,9.307923913E-2,8.924702406E-1,-8.426666260E-2,9.012589781E-1
5.431740428E0,8.041289449E-2,8.163834214E-1,1.526279449E-1,8.344120169E-1
5.450300585E0,-2.256341279E-1,6.840724945E-1,2.146816254E-1,7.516343111E-1
5.468814126E0,-4.617601633E-1,5.818215609E-1,2.261419296E-1,7.764527992E-1
5.487375428E0,-2.948150933E-1,4.738919139E-1,1.710081100E-1,5.837236152E-1
5.505954647E0,-7.728002965E-2,4.221525192E-1,1.978197098E-1,4.725649056E-1
5.524515949E0,-4.093898833E-2,3.646159172E-1,3.438177109E-1,5.028234145E-1
5.543077199E0,-2.584866285E-1,2.864022851E-1,6.110115051E-1,7.226179249E-1
5.561620480E0,-4.822423458E-1,2.533678412E-1,1.050271034E0,1.183140815E0
5.580273501E0,-7.464566231E-1,4.209367633E-1,1.569495201E0,1.788211519E0
5.598790741E0,-7.343542576E-1,4.593899846E-1,1.783979416E0,1.983153522E0
5.617351991E0,-2.801795602E-1,3.679145575E-1,1.634701729E0,1.698855924E0
5.635865585E0,2.602495253E-1,2.053425312E-1,1.425815582E0,1.463846114E0
5.654426835E0,6.145098805E-2,4.048323631E-2,1.343816757E0,1.345830076E0
5.673036939E0,-5.013755560E-1,-2.285434604E-1,1.069329262E0,1.202944151E0
5.691597095E0,-8.451010585E-1,-3.676480055E-1,6.828298569E-1,1.147003692E0
5.710159491E0,-4.489557147E-1,-4.720779657E-1,2.323617935E-1,6.916724966E-1
5.728671887E0,-9.731022269E-2,-5.254851580E-1,-1.955986023E-2,5.347770739E-1
